date,day,total,temp,공휴일,cloud,month,NightOpen,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
2월 22일,금,7069 ,-0.9,0,4.1,2,0,3.9,0,0,2013,0,0
2월 23일,토,10672 ,-2.5,0,0.8,2,0,0,0,0,2013,1,1
2월 24일,일,11733 ,0.2,0,4.1,2,0,0,0,0,2013,1,1
2월 25일,월,11369 ,2.1,0,7,2,0,0,0,0,2013,0,0
2월 26일,화,0 ,3.1,0,8.6,2,0,0,10,0,2013,0,0
2월 27일,수,8244 ,2.2,0,4.6,2,0,0,0,0,2013,0,0
2월 28일,목,8777 ,4.9,0,5.4,2,0,1,0,0,2013,0,0
3월 1일,금,16873 ,-0.8,1,3.8,3,0,3,0,0,2013,1,1
3월 2일,토,14873 ,-2.1,0,3.5,3,0,0,0,0,2013,1,1
3월 3일,일,10175 ,-1,0,1.8,3,0,0,0,0,2013,1,1
3월 4일,월,4852 ,1.8,0,4.6,3,0,0,0,0,2013,0,0
3월 5일,화,0 ,2.5,0,0,3,0,0,10,0,2013,0,0
3월 6일,수,5535 ,6.7,0,1.6,3,0,0,0,0,2013,0,0
3월 7일,목,5184 ,6.9,0,7.9,3,0,0.5,0,0,2013,0,0
3월 8일,금,7508 ,7.6,0,3.6,3,0,0,0,0,2013,0,0
3월 9일,토,16067 ,12.1,0,1.5,3,0,0,0,0,2013,1,1
3월 10일,일,10983 ,-0.5,0,0.4,3,0,0,0,0,2013,1,1
3월 11일,월,6773 ,2.5,0,0,3,0,0,0,0,2013,0,0
3월 12일,화,0 ,6.8,0,6.3,3,0,3.5,10,0,2013,0,0
3월 13일,수,6056 ,3.8,0,6.8,3,0,11.5,0,0,2013,0,0
3월 14일,목,6559 ,2.8,0,3.4,3,0,0,0,0,2013,0,0
3월 15일,금,6792 ,3.4,0,0.9,3,0,0,0,0,2013,0,0
3월 16일,토,16477 ,5.4,0,2.4,3,0,0,0,0,2013,1,1
3월 17일,일,14619 ,7.1,0,7,3,0,7.5,0,0,2013,1,1
3월 18일,월,8118 ,7.3,0,6,3,0,1,0,0,2013,0,0
3월 19일,화,0 ,6.6,0,8.5,3,0,0,10,0,2013,0,0
3월 20일,수,8883 ,1,0,5.3,3,0,0.1,0,0,2013,0,0
3월 21일,목,8979 ,0.3,0,0,3,0,0,0,0,2013,0,0
3월 22일,금,8258 ,2,0,6.1,3,0,0,0,0,2013,0,0
3월 23일,토,17571 ,4.2,0,1.6,3,0,0,0,0,2013,1,1
3월 24일,일,15524 ,3.8,0,2.1,3,0,0,0,0,2013,1,1
3월 25일,월,11035 ,1.4,0,0.3,3,0,0,0,0,2013,0,0
3월 26일,화,0 ,3.3,0,0.8,3,0,0,10,0,2013,0,0
3월 27일,수,13233 ,7,0,0,3,0,0,0,0,2013,0,0
3월 28일,목,12610 ,6.1,0,7,3,0,0,0,0,2013,0,0
3월 29일,금,12284 ,4.3,0,1.9,3,0,0,0,0,2013,0,0
3월 30일,토,17426 ,3.6,0,7.8,3,0,0.2,0,0,2013,1,1
3월 31일,일,16458 ,5.5,0,0,3,0,0,0,0,2013,1,1
4월 1일,월,11267 ,7.9,0,7.3,4,0,0.5,0,0,2013,0,0
4월 2일,화,0 ,5.9,0,7.6,4,0,8.5,10,0,2013,0,0
4월 3일,수,16934 ,7,0,4.5,4,0,0,0,0,2013,0,0
4월 4일,목,13558 ,11.7,0,1.8,4,0,0,0,0,2013,0,0
4월 5일,금,12668 ,13.4,0,7.8,4,0,0,0,0,2013,0,0
4월 6일,토,8535 ,6.1,0,10,4,0,14,0,0,2013,1,1
4월 7일,일,16985 ,3.9,0,4,4,0,1,0,0,2013,1,1
4월 8일,월,13022 ,6.5,0,5.1,4,0,1,0,0,2013,0,0
4월 9일,화,0 ,4.5,0,4,4,0,0.5,10,0,2013,0,0
4월 10일,수,13419 ,3.5,0,4.4,4,0,1.5,0,0,2013,0,0
4월 11일,목,17314 ,4.2,0,3.6,4,0,0.5,0,0,2013,0,0
4월 12일,금,12999 ,5.3,0,1.1,4,0,0,0,0,2013,0,0
4월 13일,토,23140 ,10.6,0,3.5,4,0,0,0,0,2013,1,1
4월 14일,일,15064 ,6.6,0,3.4,4,0,3.5,0,0,2013,1,1
4월 15일,월,15938 ,6.3,0,4.5,4,0,0,0,0,2013,0,0
4월 16일,화,0 ,12.2,0,7.9,4,0,0,10,0,2013,0,0
4월 17일,수,21188 ,12.5,0,5.9,4,0,0,0,0,2013,0,0
4월 18일,목,22595 ,10.6,0,4.3,4,0,0,0,0,2013,0,0
4월 19일,금,18779 ,8.3,0,5.1,4,0,0,0,0,2013,0,0
4월 20일,토,12083 ,4.7,0,9.1,4,0,9.5,0,0,2013,1,1
4월 21일,일,18454 ,7.6,0,3.4,4,0,0,0,0,2013,1,1
4월 22일,월,16080 ,10.6,0,3.4,4,0,0,0,0,2013,0,0
4월 23일,화,0 ,9.7,0,9.8,4,0,5.5,10,0,2013,0,0
4월 24일,수,23746 ,11.3,0,3.1,4,0,0.1,0,0,2013,0,0
4월 25일,목,16955 ,7.8,0,8.6,4,0,4.5,0,0,2013,0,0
4월 26일,금,17104 ,10.4,0,1.6,4,0,0.1,0,0,2013,0,0
4월 27일,토,19633 ,12,0,1.6,4,0,0,0,0,2013,1,1
4월 28일,일,15857 ,14.4,0,6.1,4,0,0,0,0,2013,1,1
4월 29일,월,12808 ,12.6,0,5.4,4,0,21,0,0,2013,0,0
4월 30일,화,0 ,12.6,0,2.3,4,0,0,10,0,2013,0,0
5월 1일,수,23631 ,12.3,0,3.3,5,0,1,0,0,2013,0,0
5월 2일,목,14425 ,11.4,0,4.1,5,0,1,0,0,2013,0,0
5월 3일,금,14490 ,12.2,0,6,5,0,0,0,0,2013,0,0
5월 4일,토,25105 ,12.7,0,1.8,5,0,0,0,0,2013,1,1
5월 5일,일,18061 ,13.6,1,0,5,0,0,0,0,2013,1,2
5월 6일,월,10833 ,13.8,0,0,5,0,0,0,0,2013,0,0
5월 7일,화,0 ,17.7,0,0,5,0,0,10,0,2013,0,0
5월 8일,수,17034 ,18.7,0,2.3,5,0,0,0,0,2013,0,0
5월 9일,목,12771 ,16.9,0,8.5,5,0,2.5,0,0,2013,0,0
5월 10일,금,10675 ,13,0,9.9,5,0,22,0,0,2013,0,0
5월 11일,토,18845 ,17,0,3.1,5,0,0,0,0,2013,1,1
5월 12일,일,16457 ,18,0,6.1,5,0,1,0,0,2013,1,1
5월 13일,월,10240 ,20.7,0,3.1,5,0,0,0,0,2013,0,0
5월 14일,화,0 ,19.4,0,7.6,5,0,0,10,0,2013,0,0
5월 15일,수,17118 ,18.4,0,4.8,5,0,0,0,0,2013,0,0
5월 16일,목,13860 ,19.8,0,0,5,0,0,0,0,2013,0,0
5월 17일,금,25102 ,18.7,1,4.4,5,0,0,0,0,2013,1,1
5월 18일,토,26090 ,16.7,0,9.4,5,0,14.5,0,0,2013,1,1
5월 19일,일,11285 ,15.1,0,8,5,0,19.5,0,0,2013,1,1
5월 20일,월,10351 ,13.5,0,5.5,5,0,0,0,0,2013,0,0
5월 21일,화,0 ,17.6,0,0.4,5,0,0,10,0,2013,0,0
5월 22일,수,32203 ,18.4,0,4.3,5,1,0,0,0,2013,0,0
5월 23일,목,58281 ,21.1,0,0,5,1,0,0,0,2013,0,0
5월 24일,금,53333 ,20.5,0,0.4,5,1,0,0,0,2013,0,0
5월 25일,토,66505 ,23.9,0,5.1,5,1,0,0,0,2013,1,1
5월 26일,일,52303 ,22.8,0,8.4,5,1,0,0,0,2013,1,1
5월 27일,월,6604 ,18.1,0,10,5,0,56.5,0,0,2013,0,0
5월 28일,화,0 ,17.5,0,10,5,0,11.5,10,0,2013,0,0
5월 29일,수,15231 ,14.7,0,9.6,5,0,2.5,0,0,2013,0,0
5월 30일,목,12836 ,18.3,0,2.9,5,0,0,0,0,2013,0,0
5월 31일,금,11189 ,20.9,0,5.8,5,0,0,0,0,2013,0,0
6월 1일,토,17050 ,20.9,0,4.6,6,0,0,0,0,2013,1,1
6월 2일,일,15705 ,22.1,0,0,6,0,0,0,0,2013,1,1
6월 3일,월,10010 ,20.9,0,0.8,6,0,0,0,0,2013,0,0
6월 4일,화,0 ,22,0,3,6,0,0.2,10,0,2013,0,0
6월 5일,수,9409 ,24,0,2.4,6,0,0,0,0,2013,0,0
6월 6일,목,17816 ,23.3,1,4.1,6,0,0,0,0,2013,1,1
6월 7일,금,10912 ,24.9,0,1.8,6,0,0,0,0,2013,0,0
6월 8일,토,15485 ,25,0,6.6,6,0,0,0,0,2013,1,1
6월 9일,일,11677 ,25.8,0,2.4,6,0,0,0,0,2013,1,1
6월 10일,월,8800 ,25.8,0,2.8,6,0,0,0,0,2013,0,0
6월 11일,화,0 ,21.7,0,9.3,6,0,7,10,0,2013,0,0
6월 12일,수,11265 ,19,0,9.8,6,0,6.5,0,0,2013,0,0
6월 13일,목,14350 ,21.8,0,8.5,6,0,0,0,0,2013,0,0
6월 14일,금,10352 ,23.9,0,5.8,6,0,0,0,0,2013,0,0
6월 15일,토,16174 ,23.5,0,3.9,6,0,0,0,0,2013,1,1
6월 16일,일,14336 ,21.5,0,6.1,6,0,0,0,0,2013,1,1
6월 17일,월,10368 ,21,0,9.6,6,0,0.5,0,0,2013,0,0
6월 18일,화,0 ,20.3,0,10,6,0,12,10,0,2013,0,0
6월 19일,수,10364 ,23.2,0,7,6,0,0.1,0,0,2013,0,0
6월 20일,목,9888 ,25,0,6.8,6,0,0,0,0,2013,0,0
6월 21일,금,10501 ,25.3,0,7.1,6,0,0,0,0,2013,0,0
6월 22일,토,15932 ,23.8,0,7.9,6,0,0,0,0,2013,1,1
6월 23일,일,13346 ,21.9,0,7.6,6,0,0.3,0,0,2013,1,1
6월 24일,월,8879 ,22,0,5.5,6,0,0,0,0,2013,0,0
6월 25일,화,0 ,23.5,0,8.4,6,0,0,10,0,2013,0,0
6월 26일,수,11993 ,23.7,0,5.1,6,0,0,0,0,2013,0,0
6월 27일,목,11459 ,24.1,0,5.3,6,0,0,0,0,2013,0,0
6월 28일,금,10362 ,24.1,0,5.8,6,0,1.5,0,0,2013,0,0
6월 29일,토,14078 ,25.9,0,2,6,0,0,0,0,2013,1,1
6월 30일,일,12573 ,26.6,0,3.3,6,0,0.2,0,0,2013,1,1
7월 1일,월,10574 ,26,0,6.3,7,0,0,0,0,2013,0,0
7월 2일,화,0 ,22.8,0,9.5,7,0,51.5,10,0,2013,0,0
7월 3일,수,12321 ,24.3,0,6.1,7,0,0,0,0,2013,0,0
7월 4일,목,10304 ,23.7,0,9.9,7,0,32.5,0,0,2013,0,0
7월 5일,금,10166 ,24.2,0,7.4,7,0,1,0,0,2013,0,0
7월 6일,토,15780 ,24.4,0,4.5,7,0,0,0,0,2013,1,1
7월 7일,일,12642 ,23.3,0,8.1,7,0,3,0,0,2013,1,1
7월 8일,월,9461 ,23.3,0,10,7,0,68,0,0,2013,0,0
7월 9일,화,0 ,23.6,0,10,7,0,6.5,10,0,2013,0,0
7월 10일,수,13385 ,24.1,0,10,7,0,1,0,0,2013,0,0
7월 11일,목,11704 ,23.4,0,10,7,0,14,0,0,2013,0,0
7월 12일,금,11107 ,22.5,0,10,7,0,74,0,0,2013,0,0
7월 13일,토,15017 ,23.4,0,10,7,0,165,0,0,2013,1,1
7월 14일,일,0 ,23,0,10,7,0,23,10,0,2013,1,1
7월 15일,월,13565 ,25.3,0,9.4,7,0,3.5,0,0,2013,0,0
7월 16일,화,0 ,25.4,0,9.8,7,0,1.5,10,0,2013,0,0
7월 17일,수,14432 ,23.1,0,10,7,0,18.5,0,0,2013,0,0
7월 18일,목,13171 ,24.3,0,9,7,0,26.5,0,0,2013,0,0
7월 19일,금,14746 ,26.2,0,7,7,0,0,0,0,2013,0,0
7월 20일,토,18350 ,26,0,8.4,7,0,1,0,0,2013,1,1
7월 21일,일,16919 ,25.5,0,10,7,0,0.5,0,0,2013,1,1
7월 22일,월,11861 ,25.4,0,9.9,7,0,84.5,0,0,2013,0,0
7월 23일,화,0 ,24.5,0,10,7,0,56.5,10,0,2013,0,0
7월 24일,수,16175 ,23.8,0,7.8,7,0,11.5,0,0,2013,0,0
7월 25일,목,14802 ,25.2,0,6.8,7,0,0,0,0,2013,0,0
7월 26일,금,12410 ,25.4,0,2.9,7,0,0,0,0,2013,0,0
7월 27일,토,18789 ,25,0,6.9,7,0,0.2,0,0,2013,1,1
7월 28일,일,15595 ,24.1,0,10,7,0,11,0,0,2013,1,1
7월 29일,월,18812 ,25.6,0,6.4,7,0,3.5,0,0,2013,0,0
7월 30일,화,0 ,25,0,8.9,7,0,9.5,10,0,2013,0,0
7월 31일,수,19158 ,25,0,8.3,7,0,8.5,0,0,2013,0,0
8월 1일,목,18750 ,27.1,0,7.1,8,0,0,0,0,2013,0,0
8월 2일,금,20185 ,25.9,0,9.1,8,0,7.5,0,0,2013,0,0
8월 3일,토,22233 ,27.8,0,8.1,8,0,0.1,0,0,2013,1,1
8월 4일,일,15081 ,27.2,0,8,8,0,4.5,0,0,2013,1,1
8월 5일,월,14507 ,26.8,0,7,8,0,7,0,0,2013,0,0
8월 6일,화,0 ,25.3,0,6.6,8,0,45,10,0,2013,0,0
